email;courseCompletion;courseEngagement;projectDegree;teamProjectDegree;bonusProjectUrls
demmel@verizon.net;2.15;1.12;0.18;2.59;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
smeier@yahoo.com;1.22;1.68;2.91;0.31;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
wildixon@hotmail.com;1.57;1.58;1.37;4.05;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
jbearp@aol.com;0.94;0.95;1.01;4.51;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
andrei@comcast.net;2.66;0.55;0.53;0.70;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
doche@aol.com;4.38;3.10;1.02;2.55;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
pkilab@mac.com;3.14;4.50;4.17;0.92;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
ducasse@sbcglobal.net;1.19;0.69;1.42;4.35;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
rgarton@outlook.com;2.95;0.04;3.02;0.57;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
carroll@yahoo.com;0.75;1.56;3.68;3.88;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
kawasaki@gmail.com;2.41;0.66;0.03;0.98;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
gregh@yahoo.com;4.84;1.19;0.92;3.44;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
mbalazin@live.com;4.23;0.02;2.43;3.01;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
natepuri@live.com;3.48;1.93;3.30;3.26;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
debest@me.com;2.97;2.26;2.99;1.64;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
malin@msn.com;2.61;4.30;3.71;3.64;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
syrinx@msn.com;3.44;0.01;3.76;3.10;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
jipsen@sbcglobal.net;3.08;3.06;0.56;2.68;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
doormat@outlook.com;1.77;1.65;4.91;3.77;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
privcan@yahoo.com;3.79;4.19;4.37;2.89;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
tsuruta@yahoo.ca;1.60;2.87;0.05;0.27;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
lukka@att.net;1.93;1.96;4.95;3.97;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
xnormal@sbcglobal.net;2.71;1.30;2.50;2.16;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
warrior@live.com;3.53;0.78;3.54;2.29;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
wagnerch@yahoo.ca;0.77;4.20;3.17;0.51;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
wikinerd@live.com;4.11;0.32;3.92;0.05;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
seurat@yahoo.com;3.70;3.11;1.90;4.60;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
tokuhirom@gmail.com;4.72;0.63;4.39;3.51;"https://github.com/Fremen1990/React-Global-State-Management","https://github.com/Fremen1990/React-Global-State-Management"
